rating_id,image_file,feature,grid_cells,description,stated_label,presence,relevance,support,notes
r001,images/r001.png,crypt/gland architecture,A2 B2 C3,The crypts show architectural distortion with a serrated appearance.,SSA,,,,
r002,images/r002.png,crypt/gland architecture,B2 B3 C2 C3,The crypts show abnormal architecture typical of SSA.,SSA,,,,
r003,images/r003.png,crypt/gland architecture,C2 C3 D1 D2,The crypts are relatively straight and do not show the basal dilation or distortion typical of SSA.,HP,,,,
r004,images/r004.png,inflammatory infiltrate,B4 C3 C4 D3,There is a moderate amount of chronic inflammatory cells within the lamina propria.,HP,,,,
r005,images/r005.png,crypt/gland architecture,B3 B4 C3 C4 D2 D3,The crypts show basal dilation and a boot-shaped configuration characteristic of sessile serrated lesions.,SSA,,,,
r006,images/r006.png,serration,B3 B4 C4,The upper portions of the crypts show a characteristic saw-tooth pattern.,HP,,,,
r007,images/r007.png,serration,B1 B2 B3,Saw-tooth shaped folds are visible in the upper crypts near the surface.,HP,,,,
r008,images/r008.png,serration,A1 A2 B3 C3,The glands exhibit a saw-tooth or serrated luminal contour.,SSA,,,,
r009,images/r009.png,stroma,A1 B1,The intervening stroma is narrow and separates the distorted glandular structures.,SSA,,,,
r010,images/r010.png,crypt/gland architecture,A2 B2 C2 D2,"There are dilated, irregularly shaped crypts with basal expansion.",SSA,,,,
r011,images/r011.png,serration,B2 C3 D3,The crypts show a characteristic saw-tooth serrated pattern primarily in the upper portions.,HP,,,,
r012,images/r012.png,crypt/gland architecture,B2 B3 C2 C3 D3 D4,The crypts show basal dilation and a boot-shaped configuration.,SSA,,,,
r013,images/r013.png,serration,A3 B3 C3,Prominent serrated architecture is visible in these cells.,SSA,,,,
r014,images/r014.png,crypt/gland architecture,B2 B3 C3 D3,The crypts show basal dilatation and a characteristic boot-shaped or L-shaped morphology.,SSA,,,,
r015,images/r015.png,crypt/gland architecture,B4 C4 D2 D3,"The crypts are straight and parallel, lacking the basal dilation seen in SSA.",HP,,,,
r016,images/r016.png,crypt/gland architecture,B4 C4 D4,"The crypts show dilation and horizontal growth, which is typical of SSA.",SSA,,,,
r017,images/r017.png,inflammatory infiltrate,C2 D2 D3,Chronic inflammatory cells are present in the stroma between the distorted glands.,SSA,,,,
r018,images/r018.png,crypt/gland architecture,C3 C4 D2 D3 D4,The crypts show a dilated and distorted architecture with basal expansion.,SSA,,,,
r019,images/r019.png,serration,B3 B4 C3 C4,The surface and superficial crypt epithelium show characteristic saw-tooth luminal contours.,HP,,,,
r020,images/r020.png,surface epithelium,A4 B4 C4,Surface epithelium with exaggeration suggestive of a serrated pattern.,SSA,,,,
r021,images/r021.png,crypt/gland architecture,B2 B3 C2 C3 D3 D4,"The crypts show basal dilation and an expanded, boot-shaped appearance.",SSA,,,,
r022,images/r022.png,serration,A1 A2 B1 B2,Saw-tooth serration is visible in the crypt architecture.,SSA,,,,
r023,images/r023.png,serration,B3 B4 C3 C4,Serrated architecture is evident in the glands.,SSA,,,,
r024,images/r024.png,serration,B2 B3 C3 D4,Saw-tooth folding of the luminal surface extends deep into the crypts.,SSA,,,,
r025,images/r025.png,serration,A3 A4 B3 B4 C3 C4,The glands show characteristic saw-tooth serrations primarily in the upper half of the crypts.,HP,,,,
r026,images/r026.png,crypt/gland architecture,C2 C3 D1 D2,"The crypts show basal dilation and distorted, boot-shaped configurations typical of sessile serrated lesions.",SSA,,,,
r027,images/r027.png,serration,A2 A3 B2 B3 C2 C3,The luminal surfaces of the crypts exhibit saw-tooth like folding patterns.,SSA,,,,
r028,images/r028.png,crypt/gland architecture,B2 B3 C2 D2,"The crypts exhibit basal dilation and an irregular, boot-shaped or L-shaped configuration.",SSA,,,,
r029,images/r029.png,crypt/gland architecture,C2 C3 D2 D3,"The crypts show abnormal shape and size, indicative of distorted architecture.",SSA,,,,
r030,images/r030.png,surface epithelium,A3 A4,Surface epithelium shows flattened appearance typical in SSA.,SSA,,,,
r031,images/r031.png,crypt/gland architecture,C2 C3,Architectural distortion typical of serrated lesions.,SSA,,,,
r032,images/r032.png,stroma,A1 A2 D1,There is an abundance of lamina propria and stroma between the distorted glandular structures.,SSA,,,,
r033,images/r033.png,serration,B2 B3 C2,Intraluminal folding and sawtooth patterns are evident throughout the deeper parts of the crypts.,SSA,,,,
r034,images/r034.png,crypt/gland architecture,B2 B3 C2 C3 D3 D4,"The crypts show basal dilation and irregular, distorted architecture characteristic of serrated lesions.",SSA,,,,
r035,images/r035.png,crypt/gland architecture,B2 C2 D2,Distorted crypt architecture with irregular shapes.,SSA,,,,
r036,images/r036.png,inflammatory infiltrate,B4 C4 D3 D4,There is a moderate amount of chronic inflammatory cells within the stroma.,HP,,,,
r037,images/r037.png,serration,A1 A3 B2 D2,Saw-tooth like indentations are visible along the luminal borders of the crypts.,SSA,,,,
r038,images/r038.png,crypt/gland architecture,B1 B2 B3 C1 C2 C3,The crypts remain straight and parallel without the basal dilation seen in SSA.,HP,,,,
r039,images/r039.png,serration,A2 B2 C3,Sawtooth pattern in the glandular structures indicating serration.,SSA,,,,
r040,images/r040.png,crypt/gland architecture,B2 C2 D2,"The crypts show basal dilation and an irregular, boot-shaped growth pattern.",SSA,,,,
r041,images/r041.png,crypt/gland architecture,B3 B4 C3 C4 D2 D3,The crypts are relatively straight and parallel without the basal dilation characteristic of SSA.,HP,,,,
r042,images/r042.png,serration,B2 C2 C3,Prominent serrated architecture is evident in these cells.,SSA,,,,
r043,images/r043.png,serration,A1 A2 B1 B2,The crypts show characteristic superficial sawtooth serrations.,HP,,,,
r044,images/r044.png,crypt/gland architecture,B2 C2 C3,Crypts appear dilated and asymmetrical with horizontally arranged bases.,SSA,,,,
r045,images/r045.png,crypt/gland architecture,B2 B3 C2 C3,The crypts show horizontal growth and basal dilatation characteristic of a sessile serrated lesion.,SSA,,,,
r046,images/r046.png,stroma,B1 C1,The lamina propria is expanded with mild inflammatory infiltrate between distorted glands.,SSA,,,,
r047,images/r047.png,surface epithelium,A3 A4 B4,Surface epithelium is significantly serrated.,SSA,,,,
r048,images/r048.png,crypt/gland architecture,A2 A4 B3 B4 C3 C4 D3 D4,"The crypts show an expanded, distorted base and dilated morphology characteristic of a sessile serrated lesion.",SSA,,,,
r049,images/r049.png,serration,A4 B3 B4 C3 C4,The crypts exhibit a saw-tooth pattern primarily limited to the upper portion.,HP,,,,
r050,images/r050.png,surface epithelium,A4 B3 B4,The surface lining shows characteristic serrated morphology.,SSA,,,,
r051,images/r051.png,serration,A3 A4 B3 B4,The glandular epithelium exhibits saw-tooth like folding and serration throughout the depth of the crypts.,SSA,,,,
r052,images/r052.png,inflammatory infiltrate,D1 D2 D3,There is a moderate amount of mononuclear inflammatory cells in the lamina propria.,HP,,,,
r053,images/r053.png,crypt/gland architecture,C1 C2 D1 D2,"The crypts maintain a relatively straight, parallel orientation at the base without significant basal dilation.",HP,,,,
r054,images/r054.png,crypt/gland architecture,B3 B2 C3,Distorted crypt architecture with dilated crypt bases suggesting sessile serrated features.,SSA,,,,
r055,images/r055.png,crypt/gland architecture,C3 C4 D3 D4,Expansion and branching of crypts with irregular shapes.,SSA,,,,
r056,images/r056.png,serration,A3 A4 B4 C4,Prominent serrated architecture is evident in these cells.,SSA,,,,
r057,images/r057.png,serration,B3 B4 C4,Saw-tooth folding of the glandular epithelium is evident throughout the upper crypts.,SSA,,,,
r058,images/r058.png,serration,A3 A4 B3 B4,Saw-toothed appearance in surface epithelium and deeper crypts.,SSA,,,,
r059,images/r059.png,serration,B1 B2 B3 C3,Sawtooth appearances indicating serration in the glands.,SSA,,,,
r060,images/r060.png,serration,A3 B3 C3,Saw-toothed appearance in the epithelial layer.,SSA,,,,
r061,images/r061.png,serration,C3 C4 D3 D4,The glandular epithelium shows a characteristic saw-tooth serrated pattern throughout the crypts.,SSA,,,,
r062,images/r062.png,crypt/gland architecture,B3 B4 C3 C4 D2 D3,The crypts remain straight and parallel without the basal dilation typically seen in SSA.,HP,,,,
r063,images/r063.png,surface epithelium,A1 A4 D1 D2,The surface lining is intact and consistent with a hyperplastic process.,HP,,,,
r064,images/r064.png,crypt/gland architecture,B2 B3 C3 D3,"There are dilated, irregularly shaped crypts with a boot-shaped profile and basal expansion.",SSA,,,,
r065,images/r065.png,serration,A3 A4 B4,There is a saw-tooth pattern in the crypts indicating serration.,SSA,,,,
r066,images/r066.png,crypt/gland architecture,D1 D2 D3 D4,The crypts show basal dilatation and a boot-shaped appearance.,SSA,,,,
r067,images/r067.png,serration,A2 A3 B2 B3,Saw-tooth like folding of the epithelium is present throughout the upper and middle crypts.,SSA,,,,
r068,images/r068.png,serration,A2 A3 B2 B3,The glandular epithelium exhibits characteristic sawtooth serration.,SSA,,,,
r069,images/r069.png,serration,A4 B4 C4,Prominent serrations seen in the glands.,SSA,,,,
r070,images/r070.png,serration,A1 A2 B3 B4,The crypts show a characteristic saw-tooth appearance primarily in the upper portions.,HP,,,,
r071,images/r071.png,serration,B2 B3 C2 C3,"Prominent serration is visible in the crypt architecture, consistent with features of SSA.",SSA,,,,
r072,images/r072.png,stroma,B1 C1 D1,The surrounding stroma contains a mild inflammatory infiltrate.,SSA,,,,
r073,images/r073.png,crypt/gland architecture,A1 A2 B1 B2 C2 D1 D2,"The crypts are straight and parallel, lacking the basal dilation seen in SSA.",HP,,,,
r074,images/r074.png,stroma,B1 D1,The intervening stroma appears expanded and contains mild inflammatory cells.,SSA,,,,
r075,images/r075.png,crypt/gland architecture,C2 C3 D1 D2,The crypts are relatively straight and do not show the basal dilation typical of SSA.,HP,,,,
